Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,Style
6,18.93,1.072,1.015,7.45,29.94,5.44,20.82,60,1.065,70,2,Specific Gravity,All Grain,0.35,26.67,Saison
7,21,1.05,1.009,5.41,111.28,5.78,28.5,60,1.037,65,5,Specific Gravity,All Grain,1,19,American Pale Ale
9,41.64,1.075,1.017,7.61,70.45,9.29,49.21,60,1.064,70,1.25,Specific Gravity,All Grain,0.75,17.78,American IPA
14,58.67,1.059,1.011,6.32,43.17,6.48,71.92,65,1.048,62,1.5,Specific Gravity,All Grain,1,23.89,Saison
15,20.82,1.069,1.014,7.2,104.21,8.78,28.39,60,1.05,60,1.5,Specific Gravity,All Grain,1.25,19.44,American IPA
20,22.71,1.058,1.01,6.32,31.1,7.05,28.39,65,1.046,63,1.33,Specific Gravity,All Grain,0.75,17.78,American Pale Ale
24,40,1.069,1.017,6.76,60.83,8.15,53,60,1.052,75,34,Specific Gravity,All Grain,2,20,American IPA
26,41.64,1.078,1.016,8.05,104.25,8.12,47.32,60,1.068,70,1.75,Specific Gravity,All Grain,2,20,Imperial IPA
29,20.82,1.08,1.03,6.55,31.78,34.8,32.18,90,1.052,80,2,Specific Gravity,All Grain,1,18.33,American Stout
30,3.79,1.06,1.011,6.48,90.02,17.83,6.81,60,1.033,35,1.5,Specific Gravity,All Grain,0.5,22.22,American IPA
31,20.82,12.8186,3.13744,5.19,38.32,5.57,28.01,60,9.6,75,1.5,Plato,All Grain,0.75,20,American Pale Ale
32,22.71,1.046,1.016,4.05,35.2,31.95,26.5,75,1.036,60,1.5,Specific Gravity,All Grain,0.35,20,American Stout
36,27,1.048,1.006,5.46,34.68,4.04,33,60,1.039,35,3,Specific Gravity,All Grain,1.25,17,Saison
37,500,1.082,1.013,9.03,28.96,13.92,600,60,1.054,75,3,Specific Gravity,All Grain,1,19,Saison
38,21,1.062,1.011,6.71,23.4,6.02,30,60,1.043,75,3.1,Specific Gravity,All Grain,0.75,16,Saison
39,13.75,1.074,1.02,7.01,51.77,4.81,27,75,1.038,60,2.5,Specific Gravity,All Grain,0.35,20,American Light Lager
40,24,1.06,1.012,6.49,57.89,9.88,28,60,1.051,85,3.5,Specific Gravity,All Grain,0.75,18,American IPA
45,21.77,1.052,1.011,5.31,18.6,5.29,30.28,60,1.037,70,1.5,Specific Gravity,All Grain,0.35,21.11,Witbier
47,12,1.057,1.01,6.08,28.33,6.75,14,60,1.049,70,3,Specific Gravity,All Grain,0.35,16,American Pale Ale
55,20.82,1.072,1.024,6.29,63.78,39.05,27.44,60,1.049,75,1.5,Specific Gravity,All Grain,0.5,21.11,American Stout
57,23,1.05,1.013,4.87,52.36,5.81,27,60,1.043,75,3.48,Specific Gravity,All Grain,0.75,20,American Pale Ale
58,28,1.056,1.011,5.92,44.8,5.97,34,60,1.046,70,2.5,Specific Gravity,All Grain,0.75,19,American Pale Ale
65,24.61,1.051,1.007,5.91,15.89,3.2,30.28,90,1.036,70,1.63,Specific Gravity,All Grain,0.75,21.11,Saison
75,20.82,16.6602,3.57549,7.12,60.26,6.03,30.28,75,11.7,65,1.25,Plato,All Grain,0.35,20,American IPA
81,7.57,1.056,1.011,5.84,37.45,4.19,11.36,60,1.037,60,1.5,Specific Gravity,All Grain,0.35,19.44,American Pale Ale
82,29.4,1.055,1.009,5.98,62.1,10.3,36,90,1.04,75,4.52,Specific Gravity,All Grain,0.35,25,American Pale Ale
95,41.64,1.068,1.02,6.25,59.54,13.53,53,60,1.053,70,1.33,Specific Gravity,All Grain,0.75,20,American Amber Ale
